-7.13E+01,6.82E+01,-1.55E+00,-3.75E+00,-5.91E+00,-1.28E+02
-7.13E+01,6.75E+01,6.20E+00,-1.46E+01,-1.57E+01,-1.29E+02
-5.44E+01,5.62E+01,6.20E+00,-1.50E+01,-1.61E+01,-1.29E+02
-4.10E+01,4.77E+01,6.90E+00,-1.56E+01,-1.66E+01,-1.30E+02
-2.97E+01,4.42E+01,6.90E+00,-1.59E+01,-1.69E+01,-1.30E+02
-2.34E+01,4.56E+01,7.61E+00,-1.63E+01,-1.71E+01,-1.30E+02
-2.13E+01,4.92E+01,6.90E+00,-1.67E+01,-1.72E+01,-1.30E+02
-2.20E+01,5.34E+01,8.31E+00,-1.72E+01,-1.74E+01,-1.30E+02
-2.48E+01,5.62E+01,8.31E+00,-1.76E+01,-1.76E+01,-1.30E+02
-2.55E+01,5.97E+01,7.61E+00,-1.82E+01,-1.78E+01,-1.30E+02
-2.76E+01,6.04E+01,8.31E+00,-1.86E+01,-1.80E+01,-1.30E+02
-2.76E+01,5.62E+01,9.72E+00,-1.93E+01,-1.83E+01,-1.30E+02
-2.55E+01,5.27E+01,1.04E+01,-1.96E+01,-1.84E+01,-1.30E+02
8.86E+01,-9.10E+01,9.01E+00,-1.95E+01,-1.67E+01,-1.29E+02
1.54E+01,-2.41E+01,8.31E+00,-5.33E+00,-2.09E+00,-1.25E+02
1.54E+01,-2.55E+01,8.31E+00,-5.06E+00,-1.90E+00,-1.25E+02
1.75E+01,-2.76E+01,7.61E+00,-4.87E+00,-1.76E+00,-1.25E+02
2.94E+01,-4.45E+01,6.90E+00,2.51E+00,2.82E+00,-1.23E+02
9.99E+01,-5.01E+01,1.96E+01,-1.82E+01,3.39E+00,-1.07E+02
-7.76E+01,-8.68E+01,1.39E+01,-4.19E+00,3.45E+00,-1.08E+02
-7.90E+01,-5.51E+01,1.75E+01,-3.62E+00,2.81E+00,-1.08E+02
-7.41E+01,-3.11E+01,2.24E+01,-3.08E+00,1.89E+00,-1.07E+02
-5.93E+01,-1.63E+01,2.45E+01,-2.88E+00,1.36E+00,-1.07E+02
-3.39E+01,-8.45E-01,2.73E+01,-2.77E+00,8.08E-01,-1.07E+02
-3.66E+00,3.38E+00,2.94E+01,-2.76E+00,6.76E-01,-1.07E+02
2.17E+01,5.49E+00,3.23E+01,-2.80E+00,7.99E-01,-1.06E+02
4.07E+01,5.49E+00,3.51E+01,-2.81E+00,1.07E+00,-1.06E+02
5.20E+01,4.08E+00,3.93E+01,-2.85E+00,1.64E+00,-1.06E+02
5.41E+01,4.79E+00,4.21E+01,-2.86E+00,2.09E+00,-1.05E+02
4.92E+01,-2.25E+00,4.49E+01,-2.83E+00,2.73E+00,-1.05E+02
3.72E+01,-8.45E-01,4.56E+01,-2.79E+00,3.09E+00,-1.04E+02
2.10E+01,-2.96E+00,4.77E+01,-2.71E+00,3.45E+00,-1.04E+02
5.49E+00,-8.45E-01,4.70E+01,-2.68E+00,3.57E+00,-1.03E+02
-1.21E+01,5.63E-01,4.63E+01,-2.64E+00,3.54E+00,-1.03E+02
-2.62E+01,-5.07E+00,4.63E+01,-2.60E+00,3.39E+00,-1.02E+02
-3.82E+01,-1.00E+01,4.49E+01,-2.48E+00,3.01E+00,-1.02E+02
-4.80E+01,-1.77E+01,4.35E+01,-2.34E+00,2.66E+00,-1.02E+02
-5.01E+01,-2.69E+01,4.35E+01,-2.06E+00,2.09E+00,-1.01E+02
-5.37E+01,-3.54E+01,4.35E+01,-1.80E+00,1.67E+00,-1.01E+02
-5.01E+01,-4.17E+01,4.14E+01,-1.32E+00,1.06E+00,-1.00E+02
-4.24E+01,-4.66E+01,4.28E+01,-9.66E-01,6.84E-01,-9.99E+01
-3.54E+01,-4.94E+01,4.14E+01,-3.91E-01,2.24E-01,-9.94E+01
-2.69E+01,-4.66E+01,4.07E+01,-1.45E-02,-2.04E-02,-9.90E+01
-2.13E+01,-4.03E+01,4.14E+01,5.20E-01,-3.12E-01,-9.85E+01
-1.63E+01,-3.04E+01,4.00E+01,7.98E-01,-4.67E-01,-9.82E+01
-1.07E+01,-1.77E+01,3.93E+01,1.07E+00,-6.27E-01,-9.77E+01
-6.48E+00,-7.89E+00,3.86E+01,1.16E+00,-7.11E-01,-9.74E+01
-2.25E+00,2.68E+00,3.72E+01,1.18E+00,-7.60E-01,-9.70E+01
1.27E+00,1.04E+01,3.65E+01,1.11E+00,-7.63E-01,-9.67E+01
1.27E+00,1.82E+01,3.51E+01,9.19E-01,-7.47E-01,-9.62E+01
3.38E+00,2.17E+01,3.37E+01,7.56E-01,-7.25E-01,-9.60E+01
4.08E+00,2.38E+01,3.08E+01,4.65E-01,-6.83E-01,-9.56E+01
7.61E+00,2.38E+01,2.87E+01,2.71E-01,-6.44E-01,-9.53E+01
1.04E+01,2.10E+01,2.66E+01,7.89E-05,-5.37E-01,-9.50E+01
1.25E+01,2.03E+01,2.38E+01,-1.66E-01,-4.44E-01,-9.48E+01
1.32E+01,2.10E+01,2.17E+01,-4.17E-01,-2.80E-01,-9.45E+01
1.54E+01,2.10E+01,2.10E+01,-5.91E-01,-1.46E-01,-9.43E+01
1.82E+01,2.03E+01,2.03E+01,-8.34E-01,6.98E-02,-9.41E+01
2.24E+01,1.89E+01,2.03E+01,-9.85E-01,2.40E-01,-9.39E+01
2.45E+01,2.17E+01,1.82E+01,-1.22E+00,5.21E-01,-9.37E+01
2.66E+01,2.66E+01,1.68E+01,-1.42E+00,7.22E-01,-9.35E+01
2.66E+01,3.01E+01,1.54E+01,-1.74E+00,1.04E+00,-9.33E+01
2.45E+01,3.01E+01,1.25E+01,-1.97E+00,1.25E+00,-9.32E+01
1.96E+01,2.94E+01,1.18E+01,-2.32E+00,1.52E+00,-9.31E+01
1.04E+01,3.01E+01,1.18E+01,-2.54E+00,1.66E+00,-9.30E+01
-8.45E-01,3.15E+01,1.04E+01,-2.90E+00,1.73E+00,-9.28E+01
-1.07E+01,2.87E+01,1.04E+01,-3.14E+00,1.70E+00,-9.27E+01
-2.06E+01,2.59E+01,7.61E+00,-3.47E+00,1.52E+00,-9.26E+01
-2.76E+01,1.96E+01,6.90E+00,-3.64E+00,1.32E+00,-9.25E+01
-2.20E+01,1.89E+01,7.61E+00,-1.15E+00,2.84E+00,-1.11E+02
-3.11E+01,9.72E+00,9.01E+00,-1.29E+00,2.51E+00,-1.10E+02
-3.54E+01,-1.41E-01,9.72E+00,-1.32E+00,2.24E+00,-1.10E+02
-3.25E+01,-8.59E+00,9.72E+00,-1.25E+00,1.82E+00,-1.10E+02
-2.41E+01,-1.28E+01,1.11E+01,-1.14E+00,1.59E+00,-1.10E+02
-1.49E+01,-1.21E+01,1.11E+01,-9.78E-01,1.35E+00,-1.10E+02
-7.89E+00,-8.59E+00,1.18E+01,-8.90E-01,1.26E+00,-1.10E+02
5.63E-01,-2.96E+00,1.32E+01,-8.17E-01,1.22E+00,-1.10E+02
5.49E+00,3.38E+00,1.25E+01,-8.15E-01,1.24E+00,-1.10E+02
6.20E+00,8.31E+00,1.25E+01,-8.71E-01,1.32E+00,-1.09E+02
